Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,05/05/2020,8978.283587,8887.507473,9112.866151,8784.09959
BTC,05/06/2020,9371.684273,9032.183227,9392.635447,8927.777068
BTC,05/07/2020,9900.678867,9371.67997,9958.733998,9065.921045
BTC,05/08/2020,9917.248414,9903.830754,10062.71591,9732.806548
BTC,05/09/2020,9617.518195,9917.253174,9957.110928,9546.040993
BTC,05/10/2020,8786.655182,9616.377064,9650.018603,8166.492188
BTC,05/11/2020,8608.125245,8733.637943,9176.18639,8206.331505
BTC,05/12/2020,8815.231245,8608.119937,8980.624505,8509.564215
BTC,05/13/2020,9330.986485,8823.780831,9416.590183,8802.91656
BTC,05/14/2020,9757.296586,9330.985268,9940.956082,9273.416587
BTC,05/15/2020,9362.635557,9795.282556,9848.185361,9155.515351
BTC,05/16/2020,9418.918551,9362.636646,9583.062439,9219.362205
BTC,05/17/2020,9684.701959,9418.913715,9879.71204,9327.763833
BTC,05/18/2020,9723.68015,9673.836632,9933.976225,9523.848992
BTC,05/19/2020,9719.480854,9723.316993,9899.775994,9473.742266
BTC,05/20/2020,9540.886567,9719.254489,9834.557819,9332.915196
BTC,05/21/2020,9141.150637,9540.208922,9571.081815,8806.742839
BTC,05/22/2020,9192.845136,9139.890401,9265.2516,8934.380728
BTC,05/23/2020,9220.075887,9192.845255,9311.849338,9093.834315
BTC,05/24/2020,9048.715119,9219.746036,9301.179312,8856.470863
BTC,05/25/2020,8905.781605,9048.692372,9051.69296,8645.212548
BTC,05/26/2020,8835.727224,8905.746922,9010.897443,8707.124072
BTC,05/27/2020,9112.979176,8835.727224,9224.744965,8820.549193
BTC,05/28/2020,9507.524665,9113.177836,9523.457474,9008.05845
BTC,05/29/2020,9425.281869,9507.563792,9621.613231,9335.814886
BTC,05/30/2020,9688.32439,9434.033792,9732.943979,9334.912832
BTC,05/31/2020,9427.670084,9688.539932,9698.140854,9394.275387
BTC,06/01/2020,10268.58198,9427.232535,10357.78917,9417.354212
